CDG,DT_Abert,Dia_Semana,Tipo,QTD,Produto,Categoria,Valor_Un,Valor_Total,DT_Fech
2701,02/07/2024 18:24,terça-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",02/07/2024 19:15
2710,03/07/2024 12:26,quarta-feira,Delivery    ,1,Hot Dog Simples,Hot Dog,"20,90","20,90",03/07/2024 13:28
2733,03/07/2024 15:51,quarta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",03/07/2024 19:14
2771,04/07/2024 17:32,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",04/07/2024 18:00
2778,05/07/2024 10:03,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",05/07/2024 10:43
2778,05/07/2024 10:03,sexta-feira,Delivery    ,1,Salsicha,Complemento,"4,00","4,00",05/07/2024 10:43
2778,05/07/2024 10:03,sexta-feira,Delivery    ,1,Sprite Lemon Fresh,Refrigerantes,"7,00","7,00",05/07/2024 10:43
2804,05/07/2024 12:45,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",05/07/2024 13:20
2918,10/07/2024 16:59,quarta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",10/07/2024 17:25
2944,11/07/2024 13:47,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",11/07/2024 14:23
2966,12/07/2024 11:28,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",12/07/2024 12:11
2966,12/07/2024 11:28,sexta-feira,Delivery    ,1,Coca-Cola Original 350mL,Refrigerantes,"6,00","6,00",12/07/2024 12:11
2993,12/07/2024 15:39,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",12/07/2024 16:10
2993,12/07/2024 15:39,sexta-feira,Delivery    ,1,Fanta Uva 350mL,Refrigerantes,"6,00","6,00",12/07/2024 16:10
2996,12/07/2024 16:01,sexta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",12/07/2024 16:30
2996,12/07/2024 16:01,sexta-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",12/07/2024 16:30
2996,12/07/2024 16:01,sexta-feira,Delivery    ,1,Coca-Cola Zero 350mL,Refrigerantes,"6,00","6,00",12/07/2024 16:30
2997,12/07/2024 16:19,sexta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",12/07/2024 16:41
3003,12/07/2024 17:33,sexta-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",12/07/2024 18:25
3017,13/07/2024 12:27,sábado,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",13/07/2024 13:15
3017,13/07/2024 12:27,sábado,Delivery    ,1,Salsicha,Complemento,"4,00","4,00",13/07/2024 13:15
3029,15/07/2024 12:45,segunda-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",15/07/2024 13:19
3030,15/07/2024 12:49,segunda-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",15/07/2024 13:20
3030,15/07/2024 12:49,segunda-feira,Delivery    ,1,Coca-Cola Original 600mL,Refrigerantes,"8,00","8,00",15/07/2024 13:20
