produto,quantidade_prevista
Hot Dog Seladinho,3.728453372548035
Hot Dog Nervoso,1.9504615696486316
Hot Dog Simples,1.347437043620166
Sprite 350mL,0.7159120950261101
Guaraná Antárctica 350mL,0.6299572830803788
Coca-Cola Original 350mL,0.5578309767798363
Ifood Salsicha,0.3891589953292213
Frango Catupiry com Bacon,0.3845944557368566
Bacon 60g,0.36209897473044933
Boizinho Bacon,0.3173494441265846
Coca-Cola Original 600mL,0.282228708024098
Coca-cola Zero 600mL,0.24275946176518323
Coca-Cola Zero 350mL,0.21229243267950543
Hot Dog Catupiry,0.20386907009155888
Guaraná Antárctica 200mL,0.1501808887626155
Coca-Cola Zero 200mL,0.14261992917942254
Coca-Cola Original 200mL,0.12876107816988783
Mini Catupiry Dentro,0.11025190283834584
Mini Catupiry Selado,0.06567249157629663
Boizinho,0.04833971617621045
Schweppes 350mL,0.026777297392549807
Guaraná Antárctica 600mL,0.008512813665112489
Fanta Uva 350mL,0.008066565930460075
Boizão,0.0
Boizinho Caipira,0.0
Boizinho Salada,0.0
Doguinho,0.0
Frango Catupiry,0.0
Fanta Laranja 350mL,0.0
Fanta Guaraná 350mL,0.0
Frango Seladinho,0.0
Hot Dog com Bacon e Catupiry,0.0
Mini Bacon,0.0
Salsicha,0.0
Sprite Lemon Fresh,0.0
Água Com gás,0.0
Água Sem gás,0.0
Água Tônica,0.0
