produto,quantidade_prevista
Hot Dog Seladinho,49.00846916810859
Guaraná Antárctica 350mL,30.87339489197177
Coca-cola Zero 600mL,24.801787392365345
Boizinho Bacon,20.387685852332318
Bacon 60g,10.09405787846697
Boizinho Salada,9.233712555256892
Hot Dog Nervoso,8.611637662426372
Frango Seladinho,7.762715274809103
Salsicha,6.857791601370887
Coca-Cola Original 350mL,6.753892058828599
Mini Catupiry Dentro,3.663369936107462
Fanta Laranja 350mL,2.020815609169687
Hot Dog Simples,1.7721878885729803
Sprite 350mL,1.2323709180006805
Hot Dog Catupiry,1.1619716762753851
Boizinho,1.0904018168361311
Frango Catupiry com Bacon,0.7628087992329161
Schweppes 350mL,0.7486905659854408
Guaraná Antárctica 200mL,0.7455140427798281
Mini Catupiry Selado,0.7117616666504973
Boizinho Caipira,0.5273095503089261
Coca-Cola Zero 350mL,0.43484219105874855
Coca-Cola Original 600mL,0.40019381041527635
Coca-Cola Original 200mL,0.36405281590293165
Boizão,0.3496573057917148
Coca-Cola Zero 200mL,0.3292506533148739
Hot Dog com Bacon e Catupiry,0.26893995933481624
Guaraná Antárctica 600mL,0.23792606399662752
Água Sem gás,0.15313737847002498
Fanta Uva 350mL,0.1098361315485175
Fanta Guaraná 350mL,0.07978800060445
Água Tônica,0.07519781078065113
Sprite Lemon Fresh,0.013587585704745577
Doguinho,0.0
Frango Catupiry,0.0
Ifood Salsicha,0.0
Mini Bacon,0.0
Água Com gás,0.0
